Year,GDP Growth (%),Inflation Rate (%),Interest Rate (%),Exchange Rate (USD/INR),Fiscal Deficit (% of GDP),Exports (Billion USD),Imports (Billion USD),FDI (Billion USD),Money Supply (M3) Growth (%),Bank Credit Growth (%),Unemployment Rate (%),Private Consumption (% of GDP),Fixed Capital Formation (% of GDP),Trade Balance (Billion USD),^NSEI Close Price,^BSESN Close Price,CCI,Manufacturing PMI,"Government expenditure, percent of GDP (% of GDP)",Agricultural Export Volume,Crop Production Index,Banking Credit Growth,Foreign Exchange Reserves,Crude Oil Price, GDP (Billions of US $), Per Capita (US $),"Agriculture, Forestry & Fishing",Manufacturing,Hospitality,Business Services
1980,6.735821529,11.34607348,4.476508261,7.862944701,5.55,11439738400,17226125073,79159999.9,19.5,20.54345895,2.8,72.3,19.67624017,-5786386673,,,,,17.47979927,4.99806594,35.62,20.54345895,12009788667,,31.21446382,16.7524,35.7,13.9,11.8,8.1
1981,6.006203626,13.1125469,5.118236741,8.658522817,5.7,11485699151,16584605960,91920000,16.7,21.22546245,2.8,71.8,19.86725387,-5098906809,,,,,16.61829948,4.119368054,38.34,21.22546245,8108837891,,32.44936111,16.7704,35.3,14.3,11.8,8.3
1982,3.47573324,7.890742794,7.774707244,9.455131933,6.1,12009417677,16343526469,72079999.9,14.2,22.68789892,2.8,71.5,21.01451313,-4334108792,,,,,17.75460052,3.437193435,37.32,22.68789892,8241561693,,32.85713963,16.37,34.2,14.3,12.2,8.9
1983,7.288892903,11.8680813,7.320986685,10.09889824,6.5,12741335281,17140048793,5639999.9,17.4,22.89266876,2.8,71.2,20.56906776,-4398713512,,,,,17.83390045,3.521329859,42.12,22.89266876,8215732399,,36.3721965,16.6645,35,14.7,11.9,9
1984,3.820737856,8.318907119,7.94709992,11.36258333,7,13330716432,16391245675,19239999.9,17,24.28257464,2.8,70.9,20.85042847,-3060529243,,,,,19.80500031,2.678959429,42.71,24.28257464,8535944481,,35.44688268,16.7078,34.2,14.7,11.9,9.3
1985,5.254299223,5.556424232,8.681673585,12.36875,7.5,12217447522,17776627208,106090000,16.2,24.56366516,2.8,70.5,21.80329777,-5559179686,,,,,21.55699921,2.838065918,43.34,24.56366516,9493102974,,38.17377698,16.418,32.9,14.5,12.4,9.8
1986,4.776564168,8.729720727,9.093224145,12.61083333,8.13,12937864154,17486411450,117730000,16.4,25.8010011,2.8,70.1,22.90091499,-4548547296,,,,,23.22809982,3.504372219,43.12,25.8010011,10480102588,,40.3894717,16.2216,31.4,14.7,12.6,10.4
1987,3.965355635,8.801125813,6.560180094,12.9615,7.8,15638662914,19477194741,212319999.9,16.7,25.38235951,2.8,69.8,24.44362326,-3838531827,,,,,22.51980019,2.789864176,42.34,25.38235951,11511740599,,45.23008653,16.2095,29.9,15,12.7,10.8
1988,9.627782916,9.383471862,7.638632996,13.91708333,7.5,17899838409,22111443193,91250000,18,25.27511744,2.8,69.4,23.57197889,-4211604784,,,,,24.45734181,1.97400603,47.62,25.27511744,9185839447,,47.75548922,16.1015,31.3,14.8,12.3,10.8
1989,5.947343332,7.074280029,7.435843248,16.2255,7.3,20770696112,24133353522,252099999.9,19.4,26.58981401,2.8,69,24.57681356,-3362657410,,,,,25.23399758,2.140529509,50.89,26.58981401,8048455918,,50.039532,16.9028,29.9,15.2,12.5,11.4
